"","Distance_km","Elev_m","ET14_mm","ET15_mm","ET16_mm","ET17_mm","ET18_mm","ET19_mm","ETMN_mm","Distance_m"
"1",0.05,1307.9115187817,588.445644178952,763.024413364558,715.254366860293,551.655973478994,491.875170117426,313.740519893182,570.6660441804,50
"2",0.1,1303.80313949571,581.394532182352,757.268842500471,705.77249335107,551.394733063269,492.086037371038,324.387014081706,568.717259038444,100
"3",0.15,1308.43325351018,711.576030421939,872.43362732424,877.219775812452,728.749515525453,644.430905763836,452.94132872865,714.558497519932,150
"4",0.2,1313.06336752466,893.028539188512,1038.02006903205,1104.57247390323,945.51663564351,854.751224721976,626.48337054045,910.395343119146,200
"5",0.25,1315.6540864813,1088.89291779903,1212.09642327173,1337.91949963642,1169.43400896393,1078.61861136943,805.933519335898,1115.48245491611,250
"6",0.3,1313.44142685314,1028.24332389469,1193.28974433134,1274.60300765405,1067.92744904718,1010.29295002926,739.465774660461,1052.30373878707,300
"7",0.35,1306.05060833654,759.377161271362,944.692752140549,929.186780905506,717.755798548829,681.829674263571,479.304720390103,752.024500845862,350
"8",0.4,1308.31525120295,707.973861654472,894.994899355602,861.494769871601,665.710091215342,639.659200128012,436.204504093978,701.006229916614,400
"9",0.45,1310.57989406935,667.291280067224,855.651198981256,807.755393732394,625.707690677025,610.439438821422,403.215833947045,661.676803157484,450
"10",0.5,1315.32612081654,626.608698479975,816.307498606911,754.016017593187,585.705290138707,581.219677514832,370.227163800113,622.347376398355,500
"11",0.55,1315.26510718961,908.205666776402,1076.03374777778,1151.72968715845,976.743174692549,905.997670022094,673.126999609991,948.639461841091,550
"12",0.6,1312.24662778424,658.108970103465,864.832593437463,811.940117016813,657.671176055096,632.518202129625,539.77256653952,694.140608118328,600
"13",0.65,1312.48305283993,606.84839799049,805.684661505221,746.515506197481,571.335065766287,566.788814671632,357.162012082683,609.055727779737,650
"14",0.7,1310.82845613832,528.585950292262,747.296671264881,631.486116302946,487.434607247395,488.123224417726,527.465106785043,568.398568962509,700
"15",0.75,1312.75334542988,527.091716941147,738.272670595062,627.925604172566,487.322643617318,475.500882830459,506.860677574616,560.495684029739,750
"16",0.8,1304.39064493884,532.926715352576,735.69754899748,618.54658336002,499.201997430585,460.861249974926,501.300719908444,558.089131335207,800
"17",0.85,1307.09212746441,548.851552188958,778.552624969141,670.104068358861,538.21253305951,502.5288191106,547.902600961986,597.692046951888,850
"18",0.9,1311.6401983574,648.619961439522,871.233232334459,780.221019715218,637.290881370045,596.38139207482,690.929537272723,704.112639205303,900
"19",0.95,1312.12128770303,1144.9492649339,1251.59526422782,1321.64097989202,1167.99548091499,1111.29047553872,1138.3822107983,1189.30897057174,950
"20",1,1324.5214673824,1386.02574372779,1441.69394131559,1584.09338387981,1484.29701596051,1438.84205053364,1312.76706624883,1441.28649105396,1000
"21",1.05,1323.74770417059,1279.05753320509,1382.55942515251,1454.3050291038,1360.73507577493,1327.75860608511,1261.57175223301,1344.33122853857,1050
"22",1.1,1323.64776478668,1093.26339349174,1257.08712318112,1293.96132918485,1161.71861269778,1127.18944493089,1105.82019969424,1173.17327970672,1100
"23",1.15,1321.51479720072,1057.88161446093,1223.56140729371,1263.49049716507,1140.45776120063,1101.54627745317,1002.43711383807,1131.56239459994,1150
"24",1.2,1319.38182961475,1022.49983543012,1190.03569140631,1233.01966514529,1119.19690970349,1075.90310997544,899.054027981897,1089.95150949315,1200
"25",1.25,1317.24886202878,987.118056399314,1156.5099755189,1202.54883312551,1097.93605820635,1050.25994249772,795.670942125724,1048.34062438637,1250
"26",1.3,1315.11589444281,951.736277368504,1122.9842596315,1172.07800110572,1076.6752067092,1024.61677501999,692.287856269551,1006.72973927959,1300
"27",1.35,1315.91962748007,1075.18436508674,1219.26366167135,1283.09979898264,1197.26475585868,1156.46857665689,863.139529341497,1132.40348862307,1350
"28",1.4,1317.40061724154,1182.95040996801,1308.89042037401,1402.02732981353,1308.66204805103,1266.45143408672,1101.29133500127,1261.71220357253,1400
"29",1.45,1318.881607003,1290.71645484927,1398.51717907668,1520.95486064443,1420.05934024339,1376.43429151656,1339.44314066104,1391.02091852199,1450
"30",1.5,1322.16899611416,1232.56083264735,1343.58318604569,1441.30856880835,1341.65458765675,1296.19607439843,1299.58901525292,1325.81536406563,1500
"31",1.55,1329.07957073364,915.615640715746,1094.9684941705,1103.63756113807,996.149046110324,956.304611182988,960.487170692802,1004.52710237619,1550
"32",1.6,1325.86966712657,933.048410211368,1109.12172831419,1132.46724258984,1021.84423190731,975.972811952422,907.574929815742,1013.33825135703,1600
